id;name;power;discription;price;categories_id;country
71;Циркуляционный насос XP32-16-230;32;Насос циркуляционный. Длинна 230мм. Напор 16м. .Гарантия 1 год;134290;5;Китай
72;Бак расширительный KRATS 150л красный (ножки L);150;Бак расширительный 150л;106772;7;Китай
73;Бак расширительный KRATS 50л красный (ножки L) вертикальный;50;Бак расширительный 50л;38493;7;Китай
74;Бак расширительный WAV 8 Wester синий;8;Бак расширительный 8л;12204;7;Китай
75;Бак расширительный WAV 12 Wester синий;12;Бак расширительный 12л;13260;7;Китай
76;Бак расширительный WAV 35 Wester синий;35;Бак расширительный 35л;28500;7;Китай
77;Бойлер косвенного нагрева Kospel WW 80 ;80;монтаж-настенный, горизонтальный. Объем 80л. Тип теплообменика-змеевик. Номинальная температура 80градусов. Материалл внутреннего бака-эмалированнная сталь. Габариты(ДхШхГ): 920×490х490 мм. Гарантия 6 лет.;126094;10;Польша
78;Бойлер косвенного нагрева  Kospel WW 100 ;100;монтаж-настенный, горизонтальный. Объем 100л. Тип теплообменика-змеевик. Номинальная температура 80градусов. Материалл внутреннего бака-эмалированнная сталь. Габариты(ДхШхГ): 1125×490х490мм. Гарантия 6 лет.;137921;10;Польша
79;Бойлер косвенного нагрева WW 120 Kospel;120;монтаж-настенный, горизонтальный. Объем 120л. Тип теплообменика-змеевик. Номинальная температура 80градусов. Материалл внутреннего бака-эмалированнная сталь. Габариты(ДхШхГ): 1295×490х490мм. Гарантия 6 лет.;161728;10;Польша
80;Бойлер косвенного нагрева WW 140 Kospel;140;монтаж-настенный, горизонтальный. Объем 140л. Тип теплообменика-змеевик. Номинальная температура 80градусов. Материалл внутреннего бака-эмалированнная сталь. Габариты(ДхШхГ): 1365×490х490мм. Гарантия 6 лет.;167794;10;Польша
81;Бойлер косвенного нагрева SWR 100 Kospel;100;монтаж-напольный, вертикальный. Объем 100л. Тип теплообменика-змеевик. Номинальная температура 80градусов. Материалл внутреннего бака-эмалированнная сталь. Габариты(ВхШхГ): 1139×490х490мм. Гарантия 6 лет.;180771;10;Польша
82;Бойлер косвенного нагрева SWR 120 Kospel;120;монтаж-напольный, вертикальный. Объем 120л. Тип теплообменика-змеевик. Номинальная температура 80градусов. Материалл внутреннего бака-эмалированнная сталь. Габариты(ВхШхГ): 1295×490х490мм. Гарантия 6 лет.;191477;10;Польша
83;Бойлер косвенного нагрева SWR 140 Kospel;140;монтаж-напольный, вертикальный. Объем 140л. Тип теплообменика-змеевик. Номинальная температура 80градусов. Материалл внутреннего бака-эмалированнная сталь. Габариты(ВхШхГ): 1365×490х490мм. Гарантия 6 лет.;198251;10;Польша
84;Бойлер косвенного нагрева WP 100 Kospel;100;монтаж-настенный, горизонтальный. Теплообмениик с водяной рубашкой. Объем 100л. Материалл внутреннего бака-эмалированнная сталь. Габариты(ВхШхГ): 1085×510х510мм. Гарантия 6 лет;149673;10;Польша
85;Бойлер косвенного нагрева WP 120 Kospel;120;монтаж-настенный, горизонтальный. Теплообмениик с водяной рубашкой. Объем 120л. Материалл внутреннего бака-эмалированнная сталь. Габариты(ВхШхГ): 1085×510х510мм. Гарантия 6 лет;160118;10;Польша
86;Бойлер косвенного нагрева WP 140 Kospel;140;монтаж-настенный, горизонтальный. Теплообмениик с водяной рубашкой. Объем 140л. Материалл внутреннего бака-эмалированнная сталь. Габариты(ВхШхГ): 1085×510х510мм. Гарантия 6 лет;172292;10;Польша
87;Бойлер косвенного нагрева SW 100 Kospel;100;монтаж-напольный, вертикальный. Теплообменник-змеевик. Объем 100л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1195×500х500мм. Гарантия 6 лет ;232503;10;Польша
88;Бойлер косвенного нагрева SW 120 Kospel;120;монтаж-напольный, вертикальный. Теплообменник-змеевик. Объем 120л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1195×500х500мм. Гарантия 6 лет ;257246;10;Польша
89;Бойлер косвенного нагрева SW 140 Kospel;140;монтаж-напольный, вертикальный. Теплообменник-змеевик. Объем 140л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1195×500х500мм. Гарантия 6 лет ;266955;10;Польша
90;Бойлер косвенного нагрева SW 200 Kospel;200;монтаж-напольный, вертикальный. Теплообменник-змеевик. Объем 200л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1195×500х500мм. Гарантия 6 лет ;370571;10;Польша
91;Бойлер косвенного нагрева SW 250 Kospel;250;монтаж-напольный, вертикальный. Теплообменник-змеевик. Объем 250л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1195×500х500мм. Гарантия 6 лет ;410134;10;Польша
92;Бойлер косвенного нагрева SW 300 Kospel;300;монтаж-напольный, вертикальный. Теплообменник-змеевик. Объем 300л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1195×500х500мм. Гарантия 6 лет ;454893;10;Польша
93;Бойлер косвенного нагрева SW 400 Kospel;400;монтаж-напольный, вертикальный. Теплообменник-змеевик. Объем 400л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1195×500х500мм. Гарантия 6 лет ;603340;10;Польша
94;Бойлер косвенного нагрева SW 500 Kospel;500;монтаж-напольный, вертикальный. Теплообменник-змеевик. Объем 500л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1195×500х500мм. Гарантия 6 лет ;672239;10;Польша
95;Бойлер косвенного нагрева SB 300 Kospel;300;монтаж-напольный, вертикальный. Теплообменник с двумя змеевиками. Объем 300л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1615×695х695мм. Гарантия 6 лет ;521080;10;Польша
96;Бойлер косвенного нагрева SB 400 Kospel;400;монтаж-напольный, вертикальный. Теплообменник с двумя змеевиками. Объем 400л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1615×695х695мм. Гарантия 6 лет ;689292;10;Польша
97;Бойлер косвенного нагрева SB 500 Kospel;500;монтаж-напольный, вертикальный. Теплообменник с двумя змеевиками. Объем 500л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1615×695х695мм. Гарантия 6 лет ;735177;10;Польша
98;Бойлер косвенного нагрева SN L 80 Kospel;80;монтаж-напольный, вертикальный. Теплообменник змеевик с левой стороны. Объем 80л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 978×460х460мм. Гарантия 6 лет ;176401;10;Польша
99;Бойлер косвенного нагрева SN L 100 Kospel;100;монтаж-напольный, вертикальный. Теплообменник змеевик с левой стороны. Объем 100л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 978×460х460мм. Гарантия 6 лет ;181830;10;Польша
100;Бойлер косвенного нагрева SN L 120 Kospel;120;монтаж-напольный, вертикальный. Теплообменник змеевик с левой стороны. Объем 120л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 978×460х460мм. Гарантия 6 лет ;187255;10;Польша
